name,address
Autorecyclingbedrijf Gebr Prins BV,"Verlengde Vaart ZZ 50, 7887EN Erica"
Auto- en Scheepssloperij Treffers BV,"Hendrik Figeeweg 35, 2031BJ Haarlem"
Waal Beusichem Autodemontagebedrijf,"Rijsbosch 6, 4112MC Beusichem"
Autodemontagebedrijf Ploeg I vd,"Haulerwijksterweg 29, 9342TJ Een"
Zutphen Fa Van Autosloperij,"Udenseweg 5 A, 5464VA Veghel"
Baum BV Trucks - Truckparts,"Eikdonk 9, 4825AZ Breda"
Autosloopbedrijf H.C. Stouten,"Oostkapelseweg 12, 4353EH Serooskerke"
Autoparts BZJ,"Metaalweg 9, 6551AC Weurt"
Sloperij en Autorecycling Bedrijf Van Kammen,"Hiausterdyk 4, 9101PG Dokkum"
Annaars Autorecycling en Onderdelenverkoop,"Vest 75, 2801VE Gouda"
Autodemontagebedrijf Vertrouwen BV Het,"Leptonenweg 2, 3542CJ Utrecht"
Gebr. Van Engelen Metaalrecycling,"Kleiweg 6, 7621GK Borne"
Autodemontage A Team,"Volkelstraat 13, 3045PX Rotterdam"
Atlas-car BV,"Volkelstraat 19, 3045PX Rotterdam"
VAD Volvo Onderdelen,"Zinkweg 7, 2401MA Alphen aan den Rijn"
Elferink Auto Demontage en Revisie bedrijf,"Mettenkampsweg 6, 7468AH Enter"
Autobedrijf Eijsink,"Noordsingel 39, 7482SZ Haaksbergen"
Relder Parts Japanse Auto Onderdelen,"Ommelpad 14, 6035PC Ospel"
Autodemontagebedrijf Niks,"Garstweg 16, 7676ST Westerhaar-Vriezenveensewijk"
Veen Autosloperij Van,"Ampèreweg 23, 4338PT Middelburg"
Steenbergen Autodemontagebedrijf / Recycling,"Transito 13, 6909DA Babberich"
Autodemontagebedrijf Benelux,"Langeweg 394, 3335LP Zwijndrecht"
Autosloperij De Amstel/ M F Hijsteeg,"Amsteldijk Noord 93, 1183TG Amstelveen"
Autodemontage Lust,"Van IJsendijkstraat 190 GAR, 1442LC Purmerend"
Autosloperij De Nollen,"de Overtoom 9, 1703RE Heerhugowaard"
Autodemontage Rutte,"Hofgeesterweg 7, 1991AC Velserbroek"
Huijbregts jr H H P,"Tilburgseweg 207, 4817BC Breda"
Autosloperij en Metaalhandel G. van der Wijngaart,"Randweg 20, 1671GH Medemblik"
Autosloperij Rutte,"Hofgeesterweg 7, 1991AC Velserbroek"
Autosloperij en Metaalhandel vd Wijngaart,"Nijverheidsweg 11A/A, 1671GC Medemblik"
Autodemontagebedrijf Steenbergen / Recycling,"Transito 13A, 6909DA Babberich"
